C,S,T,A,Alpha,Theta,beta,dC,dS
27.1,-8.2,-29.7,28.0,-15.7,135.8,40.6,33.0,20.0
25.5,-17.3,-29.7,29.7,-33.1,134.1,41.7,6.0,8.0
22.0,-17.3,-29.7,27.0,-37.6,136.8,40.0,1.0,8.59
21.5,-16.5,-29.7,26.2,-36.9,137.7,39.4,0.0,7.0
22.0,-16.0,-29.7,25.6,-36.8,138.4,39.0,0.0,7.0
21.5,-16.0,-29.7,26.0,-36.1,138.0,39.3,0.0,6.8
14.0,-10.0,-29.7,17.0,-35.3,149.0,34.1,0.0,16.6
21.0,-16.5,-29.7,25.9,-37.7,138.1,39.2,-1.7,6.5
21.0,-17.0,-29.7,26.1,-38.5,137.8,39.4,-2.97,6.43
21.0,-17.3,-29.7,26.3,-39.1,137.6,39.5,-4.0,5.0
21.0,-16.0,-29.7,25.6,-36.8,138.4,39.0,0.0,6.0
21.0,-20.9,-29.7,28.4,-44.9,135.3,40.9,-6.5,10.0
21.0,-18.9,-29.7,27.2,-41.7,136.6,40.1,-6.75,10.8
21.0,-20.0,-29.7,27.9,-43.5,135.9,40.5,-9.1,3.5
22.0,-22.0,-29.7,29.7,-45.0,134.0,41.8,-11.6,0.0
20.0,-20.0,-29.7,27.2,-45.0,136.6,40.1,-11.8,0.0
21.0,-22.4,-29.7,29.4,-47.0,134.3,41.5,-12.6,0.0
20.0,-24.0,-29.7,29.9,-50.7,133.8,41.9,-16.6,0.0
15.5,-17.2,-29.7,22.6,-48.1,142.1,37.1,-17.0,0.0
25.5,-17.3,-29.7,29.7,-33.1,134.1,41.7,6.0,8.0
25.2,-16.9,-29.7,29.3,-32.8,134.5,41.5,6.5,8.5
25.2,-17.7,-29.7,29.6,-34.1,134.1,41.7,5.0,7.7
25.5,-19.8,-29.7,30.9,-37.0,132.9,42.6,0.0,6.0
23.0,-19.8,-29.7,29.1,-40.3,134.6,41.3,-2.0,4.0
23.4,-19.3,-29.7,29.1,-39.0,134.6,41.4,-3.0,4.4
24.0,-19.8,-29.7,29.8,-39.0,133.9,41.8,-2.0,3.8
24.0,-22.0,-29.7,31.0,-42.2,132.7,42.7,-3.62,3.0
